City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
133,jieshou,98,CN,1586114824,63,33.26,115.36,282.33,2.97
134,victor harbor,20,AU,1586114824,93,-35.57,138.62,286.15,2.48
135,paamiut,100,GL,1586114824,87,61.99,-49.67,273.32,4.58
136,vostok,99,RU,1586114824,88,46.49,135.88,269.9,1.31
137,chuy,8,UY,1586114772,50,-33.7,-53.46,297.46,3.03
138,winnemucca,75,US,1586114825,17,40.97,-117.74,290.15,4.6
139,hofn,100,IS,1586114825,88,64.25,-15.21,280.11,6.04
140,bayaguana,40,DO,1586114825,52,18.76,-69.64,305.15,3.6
141,gat,62,IL,1586114825,77,31.61,34.76,291.48,1.0
142,mangan,2,IN,1586114825,20,27.52,88.53,290.4,2.79
143,camacha,75,PT,1586114825,82,33.08,-16.33,293.15,5.1
144,thompson,40,CA,1586114797,62,55.74,-97.86,267.15,3.1
145,boguchany,0,RU,1586114825,93,58.38,97.45,271.18,1.52
146,dafeng,100,CN,1586114826,85,23.45,108.59,287.29,1.84
147,mahebourg,75,MU,1586114826,78,-20.41,57.7,299.15,4.6
148,carnarvon,4,AU,1586114826,83,-24.87,113.63,296.15,5.1
149,mar del plata,100,AR,1586114826,57,-38.0,-57.56,298.15,5.7
150,berezniki,72,RU,1586114826,62,59.42,56.81,270.37,2.63
151,champerico,40,GT,1586114826,49,14.3,-91.92,307.15,3.1
152,vetluzhskiy,88,RU,1586114826,88,58.39,45.47,273.19,2.47
153,lorengau,73,PG,1586114779,80,-2.02,147.27,300.94,4.76
154,havre,0,FR,1586114782,34,49.58,0.33,292.15,4.6
155,xuddur,86,SO,1586114827,33,4.12,43.89,303.59,3.45
156,coquimbo,29,CL,1586114800,68,-29.95,-71.34,292.15,4.6
157,vangaindrano,58,MG,1586114827,86,-23.35,47.6,294.36,0.15
158,constitucion,0,CL,1586114797,42,-35.33,-72.42,291.48,6.94
159,fortuna,75,US,1586114828,76,40.6,-124.16,283.15,4.6
160,qaanaaq,100,GL,1586114683,85,77.48,-69.36,264.44,0.83
161,castro,3,BR,1586114572,30,-24.79,-50.01,298.96,1.99
162,gigmoto,0,PH,1586114828,79,13.78,124.39,299.75,4.92
163,shache,63,CN,1586114823,19,38.42,77.24,288.59,2.79
164,provideniya,100,RU,1586114828,90,64.38,-173.3,258.82,5.44
165,duku,69,NG,1586114828,16,11.24,4.91,310.12,1.54
166,ugoofaaru,9,MV,1586114829,66,5.67,73.0,302.54,2.48
167,marolambo,27,MG,1586114829,76,-20.05,48.12,292.64,0.37
168,la rioja,20,ES,1586114829,55,42.25,-2.5,289.15,5.1
169,tahoua,56,NE,1586114829,8,14.89,5.27,308.56,2.62
170,ponta delgada,40,PT,1586114829,87,37.73,-25.67,289.15,2.6
171,faanui,17,PF,1586114829,73,-16.48,-151.75,301.58,3.39
172,havoysund,75,NO,1586114830,79,71.0,24.66,271.15,9.8
173,sao joao da barra,90,BR,1586114830,73,-21.64,-41.05,299.15,4.1
174,tasiilaq,35,GL,1586114830,80,65.61,-37.64,262.67,3.69
175,harrai,19,IN,1586114830,24,22.62,79.22,300.36,0.33
176,tual,28,ID,1586114830,71,-5.67,132.75,301.61,2.41
177,poronaysk,100,RU,1586114830,98,49.22,143.12,272.92,8.47
178,urengoy,100,RU,1586114830,97,65.97,78.37,273.45,4.48
179,mechetinskaya,0,RU,1586114830,53,46.77,40.46,280.63,3.37
180,nanakuli,1,US,1586114776,78,21.39,-158.15,299.15,2.1
181,vanderhoof,87,CA,1586114831,84,54.02,-124.02,270.18,0.74
182,clarence town,0,AU,1586114831,76,-32.58,151.78,289.26,6.7
183,kazanskoye,99,RU,1586114831,93,55.64,69.23,276.56,4.36
184,tuatapere,100,NZ,1586114537,81,-46.13,167.68,288.71,2.24
185,aitape,99,PG,1586114584,83,-3.14,142.35,299.59,4.63
186,galle,46,LK,1586114659,73,6.04,80.22,300.51,1.41
187,guaira,0,BR,1586114831,53,-20.32,-48.31,301.85,0.89
188,kaitangata,100,NZ,1586114533,93,-46.28,169.85,286.48,1.34
189,glendive,1,US,1586114832,45,47.11,-104.71,284.26,7.2
190,aksarka,100,RU,1586114832,98,66.56,67.8,273.06,0.77
191,kavaratti,20,IN,1586114832,70,10.57,72.64,302.12,3.19
192,neiafu,75,TO,1586114832,88,-18.65,-173.98,298.15,7.6
193,nikolskoye,67,RU,1586114832,74,59.7,30.79,272.15,2.0
194,walvis bay,16,NA,1586114832,82,-22.96,14.51,289.26,2.1
195,fairbanks,40,US,1586114832,80,64.84,-147.72,275.93,6.2
196,aktau,58,KZ,1586114832,76,43.65,51.2,282.15,2.0
197,vila franca do campo,40,PT,1586114832,87,37.72,-25.43,289.15,2.6
198,manokwari,91,ID,1586114833,70,-0.87,134.08,299.52,2.5
199,petropavlovsk-kamchatskiy,0,RU,1586114542,61,53.05,158.65,265.15,5.0
200,bilibino,94,RU,1586114833,82,68.05,166.44,246.11,0.35
201,baykit,31,RU,1586114833,93,61.67,96.37,269.28,2.24
202,bundaberg,6,AU,1586114833,88,-24.85,152.35,293.15,3.1
203,tuscaloosa,1,US,1586114795,32,33.21,-87.57,302.04,1.16
204,tooele,90,US,1586114833,51,40.53,-112.3,290.15,8.2
205,high rock,90,BS,1586114834,61,26.62,-78.28,300.15,3.6
206,cabo san lucas,75,MX,1586114834,30,22.89,-109.91,303.15,2.6
207,olinda,20,BR,1586114834,74,-8.01,-34.86,303.15,4.1
208,namatanai,25,PG,1586114834,73,-3.67,152.43,300.42,2.01
209,birao,99,CF,1586114834,9,10.28,22.79,305.06,1.95
210,tura,0,IN,1586114834,19,25.52,90.22,294.38,0.91
211,muravlenko,100,RU,1586114834,96,63.79,74.52,274.29,6.03
212,aswan,0,EG,1586114835,11,24.09,32.91,305.47,4.33
213,waipawa,5,NZ,1586114835,87,-41.41,175.52,285.37,3.1
214,mogadishu,29,SO,1586114545,75,2.04,45.34,301.89,7.27
215,college,90,US,1586114835,80,64.86,-147.8,276.15,4.6
216,kruisfontein,66,ZA,1586114781,75,-34.0,24.73,289.85,5.03
217,ahipara,97,NZ,1586114835,75,-35.17,173.17,289.15,4.99
218,salalah,0,OM,1586114574,83,17.02,54.09,300.15,1.5
219,bestobe,32,KZ,1586114835,85,52.5,73.1,278.49,6.7
220,chizhou,97,CN,1586114835,68,30.66,117.48,283.83,0.96
221,usinsk,35,RU,1586114836,95,65.99,57.53,264.71,1.93
222,assiniboia,77,CA,1586114836,60,49.63,-105.98,273.69,4.95
223,tilichiki,31,RU,1586114836,93,60.47,166.1,258.6,1.17
224,komsomolskiy,100,UZ,1586114836,77,40.43,71.72,288.15,1.0
225,hamilton,90,US,1586114715,76,39.18,-84.53,288.71,3.6
226,hailar,26,CN,1586114836,72,49.2,119.7,272.96,5.95
227,cabra,20,ES,1586114836,59,37.47,-4.44,291.15,4.1
228,takoradi,0,GH,1586114836,74,4.88,-1.76,302.21,4.74
229,esperance,75,AU,1586114549,76,-33.87,121.9,287.15,4.6
230,kodiak,40,US,1586114837,38,57.79,-152.41,277.15,5.1
231,port blair,7,IN,1586114783,73,11.67,92.75,301.36,3.25
232,vigeland,98,NO,1586114837,70,58.08,7.3,282.04,3.1
233,teahupoo,6,PF,1586114837,70,-17.83,-149.27,304.15,7.7
234,atar,0,MR,1586114837,12,20.52,-13.05,308.36,5.15
235,kamaishi,24,JP,1586114837,79,39.27,141.88,276.2,5.08
236,paramonga,11,PE,1586114838,65,-10.67,-77.83,298.34,4.77
237,geraldton,12,AU,1586114838,87,-28.77,114.6,289.15,2.6
